epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.24061,1.93945,6.38327,1.84386,0,0,0,0,0,624.5,0,8e-05,8e-05,8e-05
2,2.27605,1.97105,7.08954,1.88709,0,0,0,0,0,419.75,0,0.000176436,0.000176436,0.000176436
3,3.45653,1.09084,2.20602,1.27146,0,0,0,0,0,686.5,0,0.000268912,0.000268912,0.000268912
4,4.6409,0.9138,1.6812,1.13988,0,0,0,0,0,957.5,0,0.000357428,0.000357428,0.000357428
5,5.83499,0.922,1.20585,1.06118,0,0,0,0,0,317.5,0,0.000441984,0.000441984,0.000441984
6,6.99881,0.9914,1.23678,1.15529,0,0,0,0,0,523.5,0,0.00052258,0.00052258,0.00052258
7,8.17503,0.87502,1.035,1.06711,0,0,0,0,0,513,0,0.000599216,0.000599216,0.000599216
8,9.3334,1.02427,1.14268,1.14416,0,0,0,0,0,243,0,0.000671892,0.000671892,0.000671892
9,10.5003,0.94492,0.96609,1.10507,0,0,0,0,0,99.625,0,0.000740608,0.000740608,0.000740608
10,11.6932,1.01544,0.98008,1.14943,0,0,0,0,0,424,0,0.000805364,0.000805364,0.000805364
11,12.8666,0.9579,0.88638,1.11157,0,0,0,0,0,404.75,0,0.00086616,0.00086616,0.00086616
12,14.0476,0.90271,0.78793,1.069,0,0,0,0,0,313.25,0,0.000922996,0.000922996,0.000922996
13,15.2249,0.98266,0.87819,1.12498,0,0,0,0,0,228.5,0,0.000975872,0.000975872,0.000975872
14,16.4005,0.94985,0.78286,1.11396,0,0,0,0,0,648.5,0,0.00102479,0.00102479,0.00102479
15,17.5765,0.91903,0.80583,1.09543,0,0,0,0,0,503.25,0,0.00106974,0.00106974,0.00106974
16,18.7397,0.91983,0.76404,1.07479,0,0,0,0,0,579,0,0.00111074,0.00111074,0.00111074
17,19.9104,0.94525,0.77848,1.13435,0,0,0,0,0,359,0,0.00114778,0.00114778,0.00114778
18,21.0333,0.9855,0.74513,1.13278,0,0,0,0,0,280.75,0,0.00118085,0.00118085,0.00118085
19,22.1529,0.89088,0.77351,1.07666,0,0,0,0,0,365.75,0,0.00120997,0.00120997,0.00120997
20,23.2776,0.83158,0.64972,1.05894,0,0,0,0,0,237.125,0,0.00123512,0.00123512,0.00123512
21,24.3957,0.9272,0.67498,1.10218,0,0,0,0,0,215.875,0,0.001208,0.001208,0.001208
22,25.5564,0.83613,0.66836,1.04506,0,0,0,0,0,191.125,0,0.0011684,0.0011684,0.0011684
23,26.7143,0.89557,0.71915,1.07291,0,0,0,0,0,150,0,0.0011288,0.0011288,0.0011288
24,27.8419,0.86019,0.67062,1.04652,0,0,0,0,0,139,0,0.0010892,0.0010892,0.0010892
25,28.9641,0.8349,0.63554,1.04546,0,0,0,0,0,116.188,0,0.0010496,0.0010496,0.0010496
26,30.0855,0.78737,0.62951,0.98181,0,0,0,0,0,132,0,0.00101,0.00101,0.00101
27,31.2119,0.92968,0.66218,1.11187,0,0,0,0,0,148.875,0,0.0009704,0.0009704,0.0009704
28,32.3467,0.85546,0.65373,1.04536,0,0,0,0,0,138.625,0,0.0009308,0.0009308,0.0009308
29,33.4649,0.81413,0.62809,1.0588,0,0,0,0,0,148.375,0,0.0008912,0.0008912,0.0008912
30,34.5957,0.76611,0.59997,1.00005,0,0,0,0,0,187,0,0.0008516,0.0008516,0.0008516
31,35.7201,0.78412,0.58681,1.01612,0,0,0,0,0,241.875,0,0.000812,0.000812,0.000812
32,36.9207,0.73807,0.5605,0.97606,0,0,0,0,0,268.25,0,0.0007724,0.0007724,0.0007724
33,38.0451,0.71615,0.52767,0.98853,0,0,0,0,0,258.25,0,0.0007328,0.0007328,0.0007328
34,39.2172,0.73313,0.5161,1.00985,0,0,0,0,0,229,0,0.0006932,0.0006932,0.0006932
35,40.3614,0.71337,0.51211,0.9833,0,0,0,0,0,201.625,0,0.0006536,0.0006536,0.0006536
36,41.5128,0.80851,0.5567,1.04078,0,0,0,0,0,160.75,0,0.000614,0.000614,0.000614
37,42.6467,0.66938,0.49487,0.94493,0,0,0,0,0,153.375,0,0.0005744,0.0005744,0.0005744
38,43.7831,0.67872,0.52328,0.97947,0,0,0,0,0,155.5,0,0.0005348,0.0005348,0.0005348
39,44.9243,0.65026,0.51509,0.96121,0,0,0,0,0,154,0,0.0004952,0.0004952,0.0004952
40,46.0728,0.68171,0.51349,0.99014,0,0,0,0,0,132.875,0,0.0004556,0.0004556,0.0004556
41,47.9206,0.61895,0.49533,0.9533,0,0,0,0,0,113.125,0,0.000416,0.000416,0.000416
42,49.0894,0.57899,0.47957,0.92542,0,0,0,0,0,97.25,0,0.0003764,0.0003764,0.0003764
43,50.2558,0.58793,0.47866,0.90475,0,0,0,0,0,90.625,0,0.0003368,0.0003368,0.0003368
44,51.414,0.56448,0.46719,0.89447,0,0,0,0,0,100.75,0,0.0002972,0.0002972,0.0002972
45,52.553,0.51542,0.38525,0.86431,0,0,0,0,0,115.812,0,0.0002576,0.0002576,0.0002576
46,53.7347,0.52009,0.37246,0.87068,0,0,0,0,0,135,0,0.000218,0.000218,0.000218
47,54.9203,0.49952,0.36692,0.89164,0,0,0,0,0,149.5,0,0.0001784,0.0001784,0.0001784
48,56.1145,0.52455,0.38684,0.87169,0,0,0,0,0,163.125,0,0.0001388,0.0001388,0.0001388
49,57.3172,0.5111,0.39626,0.86535,0,0,0,0,0,162.5,0,9.92e-05,9.92e-05,9.92e-05
50,58.5602,0.50042,0.37735,0.86349,0,0,0,0,0,160.125,0,5.96e-05,5.96e-05,5.96e-05
